date,lat_zone,lon_zone,msl_min,msl_mean,t2m_min_C,t2m_mean_C,latitude,longitude,impacto_dana
2022-12-12,44.0,-10.0,98955.56,99505.17166666666,14.626599999999996,15.208652380952405,44.0,-10.0,Alto riesgo
2022-12-12,44.0,-9.75,98954.31,99520.93357142856,14.423500000000049,15.142061904761936,44.0,-9.75,Alto riesgo
2022-12-12,44.0,-9.5,98981.06,99513.924,14.183250000000044,15.170313000000018,44.0,-9.5,Alto riesgo
2023-01-17,41.25,4.25,98997.56,99220.106875,11.844400000000007,14.039706666666689,41.25,4.25,Alto riesgo
2023-01-17,41.25,4.5,98993.31,99231.02354166668,11.154930000000036,13.833409166666687,41.25,4.5,Alto riesgo
2023-01-17,41.25,4.75,98992.31,99239.24229166668,10.242819999999996,13.500482500000023,41.25,4.75,Alto riesgo
2023-01-17,41.25,5.0,98996.81,99252.294375,9.44204000000002,13.244787083333357,41.25,5.0,Alto riesgo
2023-01-17,41.5,2.5,98990.125,99206.11729166668,8.729150000000004,12.20970875000002,41.5,2.5,Alto riesgo
2023-01-17,41.5,2.75,98964.625,99181.15895833333,9.766260000000043,13.283196666666695,41.5,2.75,Alto riesgo
2023-01-17,41.5,3.0,98951.625,99169.075625,10.260400000000004,13.661942083333356,41.5,3.0,Alto riesgo
2023-01-17,41.5,3.25,98948.875,99170.044375,10.906900000000007,13.78824291666669,41.5,3.25,Alto riesgo
2023-01-17,41.5,3.5,98944.625,99169.39854166668,11.201800000000048,13.569004166666687,41.5,3.5,Alto riesgo
2023-01-17,41.5,3.75,98943.31,99173.950625,10.8793,13.333734583333358,41.5,3.75,Alto riesgo
2023-01-17,41.5,4.0,98938.56,99183.52354166668,10.500400000000012,13.216790000000024,41.5,4.0,Alto riesgo
2023-01-17,41.5,4.25,98927.06,99193.169375,9.670299999999996,13.148269583333352,41.5,4.25,Alto riesgo
2023-01-17,41.5,4.5,98923.56,99207.231875,9.166650000000004,12.993482916666691,41.5,4.5,Alto riesgo
2023-01-17,41.5,4.75,98921.81,99217.55479166668,9.026030000000048,12.896479166666694,41.5,4.75,Alto riesgo
2023-01-17,41.5,5.0,98923.31,99226.12770833333,8.846339999999998,12.798413333333352,41.5,5.0,Alto riesgo
2023-01-17,41.75,2.25,98998.06,99232.700625,3.608060000000023,7.790277500000026,41.75,2.25,Alto riesgo
2023-01-17,41.75,2.5,98938.875,99166.794375,4.570950000000039,8.713861666666693,41.75,2.5,Alto riesgo
2023-01-17,41.75,2.75,98902.625,99136.075625,6.076800000000048,10.601963750000024,41.75,2.75,Alto riesgo
2023-01-17,41.75,3.0,98891.125,99128.89854166668,8.117819999999995,12.007155000000024,41.75,3.0,Alto riesgo
2023-01-17,41.75,3.25,98903.375,99144.39854166668,10.260400000000004,12.617831666666689,41.75,3.25,Alto riesgo
2023-01-17,41.75,3.5,98899.375,99151.00270833333,9.705470000000048,12.486647916666689,41.75,3.5,Alto riesgo
2023-01-17,41.75,3.75,98895.625,99159.56520833333,9.256250000000025,12.490472500000022,41.75,3.75,Alto riesgo
2023-01-17,41.75,4.0,98888.06,99169.90895833333,9.21914000000004,12.51268875000003,41.75,4.0,Alto riesgo
2023-01-17,41.75,4.25,98875.81,99179.513125,8.899069999999995,12.632075416666687,41.75,4.25,Alto riesgo
2023-01-17,41.75,4.5,98868.81,99187.700625,8.680319999999995,12.61970541666669,41.75,4.5,Alto riesgo
2023-01-17,41.75,4.75,98865.06,99194.53395833333,8.676420000000007,12.57022583333336,41.75,4.75,Alto riesgo
