año,dias_lluviosos
1950,10
1951,11
1952,12
1953,9
1954,9
1955,9
1956,10
1957,9
1958,10
1959,10
1960,11
1961,8
1962,10
1963,10
1964,9
1965,10
1966,9
1967,11
1968,10
1969,11
1970,10
1971,12
1972,12
1973,12
1974,10
1975,10
1976,12
1977,11
1978,9
1979,11
1980,11
1981,11
1982,12
1983,10
1984,11
1985,9
1986,9
1987,12
1988,9
1989,10
1990,9
1991,9
1992,11
1993,10
1994,8
1995,11
1996,10
1997,10
1998,10
1999,10
2000,8
2001,10
2002,11
2003,10
2004,8
2005,8
2006,10
2007,11
2008,10
2009,10
2010,10
2011,10
2012,7
2013,10
2014,12
2015,9
2016,9
2017,9
2018,11
2019,8
2020,9
2021,9
2022,6
2023,6
2024,9
2025,5
