año,dias_lluviosos,precipitacion_total
1950,10,161799.8304521219
1951,11,232017.17713608526
1952,12,196210.7293918554
1953,9,154822.32755729687
1954,9,167473.25768612677
1955,9,205773.0593805239
1956,10,193940.1811010218
1957,9,183461.95587545112
1958,10,204756.9130343295
1959,10,234143.9447438305
1960,11,267363.4230142319
1961,8,193762.78824287202
1962,10,201586.4339514021
1963,10,258362.6963283262
1964,9,182544.1990526745
1965,10,234028.6608474912
1966,9,236861.2361834623
1967,11,194032.9716865777
1968,10,214684.291246778
1969,11,274043.1949790004
1970,10,195983.9884717423
1971,12,260371.2519708729
1972,12,297059.844058746
1973,12,197154.7607123358
1974,10,206061.4359100868
1975,10,204404.92069150775
1976,12,227190.303831637
1977,11,239439.8243270956
1978,9,210203.93846561466
1979,11,249699.8021761361
1980,11,192957.8442217876
1981,11,199269.6779637185
1982,12,205257.8355633296
1983,10,187859.0713340883
1984,11,222073.0707662396
1985,9,200156.9934447655
1986,9,200966.3353268572
1987,12,225163.141677085
1988,9,201969.17058545726
1989,10,214331.1517363684
1990,9,177395.4938799075
1991,9,178540.9485004485
1992,11,190406.9490637239
1993,10,193283.02395704258
1994,8,179659.8116976807
1995,11,187011.8023708578
1996,10,258364.59991182847
1997,10,234431.4215808303
1998,10,170750.174138639
1999,10,198311.0179298952
2000,8,204710.49816567765
2001,10,200750.1784955394
2002,11,212579.5472259195
2003,10,226349.27286064348
2004,8,180409.57322336276
2005,8,152151.94347916247
2006,10,202780.0828592441
2007,11,179319.85251076045
2008,10,216380.7667833353
2009,10,199828.14155574553
2010,10,242933.6529848841
2011,10,181109.2823871518
2012,7,178845.76183391144
2013,10,230087.011396787
2014,12,226691.41576604158
2015,9,166943.1648984812
2016,9,212748.4592444444
2017,9,157584.55213685476
2018,11,253142.79839859
2019,8,195581.09261439586
2020,9,199967.3994526475
2021,9,199014.04215963947
2022,6,147236.4433796369
2023,6,89920.59171437162
2024,9,195051.3928229531
2025,5,120822.648205147
