año,precipitacion_media_mm
1950,1.5667347437071222
1951,2.2466610226981687
1952,1.8999412172888623
1953,1.4991704194486102
1954,1.6216714858444377
1955,1.9925348534019278
1956,1.8779551195001722
1957,1.7764927170525517
1958,1.9826953388559292
1959,2.2672548681523597
1960,2.5889246166844053
1961,1.876237394868619
1962,1.9519950611143593
1963,2.5017690790177993
1964,1.7676059246714937
1965,2.266138554956728
1966,2.2935668543599648
1967,1.8788536262159896
1968,2.078823797803645
1969,2.653605962690762
1970,1.8977456471429073
1971,2.5212182582972433
1972,2.8764800145126075
1973,1.909082430013322
1974,1.995327251433949
1975,1.9792869382940947
1976,2.199921603451439
1977,2.3185357534190834
1978,2.0354397945775684
1979,2.41788483011984
1980,1.868442987661589
1981,1.9295615264904187
1982,1.9875458552495313
1983,1.8190707194020481
1984,2.150370582212406
1985,1.9381535502824145
1986,1.945990542711066
1987,2.1802922542130005
1988,1.9557011637758275
1989,2.0754042890267295
1990,1.7177501537677928
1991,1.7288417819006943
1992,1.843742244400456
1993,1.8715917572724705
1994,1.739675920846703
1995,1.810866472721142
1996,2.5017875117343373
1997,2.270038554311239
1998,1.653402414387627
1999,1.9202786614948408
2000,1.9822458959415683
2001,1.9438974600621601
2002,2.058443210414435
2003,2.191777760289754
2004,1.7469359867472574
2005,1.4733126450457283
2006,1.9635533625691777
2007,1.736384039340387
2008,2.095251053367179
2009,1.934969222594174
2010,2.352367079023202
2011,1.7537113872797252
2012,1.7317933402462569
2013,2.2279709059259725
2014,2.195090787106298
2015,1.6165385089712718
2016,2.0600788136614416
2017,1.5259175007441974
2018,2.451223936774634
2019,1.8938443393600963
2020,1.936317680035707
2021,1.9270861623638496
2022,1.4257150377608345
2023,0.8707160867841391
2024,1.8887151679347072
2025,2.8078700489227746
