año,precipitacion_total_mm
1950,161799.8304521219
1951,232017.17713608526
1952,196210.7293918554
1953,154822.32755729687
1954,167473.25768612677
1955,205773.0593805239
1956,193940.1811010218
1957,183461.95587545112
1958,204756.9130343295
1959,234143.9447438305
1960,267363.4230142319
1961,193762.78824287202
1962,201586.4339514021
1963,258362.6963283262
1964,182544.1990526745
1965,234028.6608474912
1966,236861.2361834623
1967,194032.9716865777
1968,214684.291246778
1969,274043.1949790004
1970,195983.9884717423
1971,260371.2519708729
1972,297059.844058746
1973,197154.7607123358
1974,206061.4359100868
1975,204404.92069150775
1976,227190.303831637
1977,239439.8243270956
1978,210203.93846561466
1979,249699.8021761361
1980,192957.8442217876
1981,199269.6779637185
1982,205257.8355633296
1983,187859.0713340883
1984,222073.0707662396
1985,200156.9934447655
1986,200966.3353268572
1987,225163.141677085
1988,201969.17058545726
1989,214331.1517363684
1990,177395.4938799075
1991,178540.9485004485
1992,190406.9490637239
1993,193283.02395704258
1994,179659.8116976807
1995,187011.8023708578
1996,258364.59991182847
1997,234431.4215808303
1998,170750.174138639
1999,198311.0179298952
2000,204710.49816567765
2001,200750.1784955394
2002,212579.5472259195
2003,226349.27286064348
2004,180409.57322336276
2005,152151.94347916247
2006,202780.0828592441
2007,179319.85251076045
2008,216380.7667833353
2009,199828.14155574553
2010,242933.6529848841
2011,181109.2823871518
2012,178845.76183391144
2013,230087.011396787
2014,226691.41576604158
2015,166943.1648984812
2016,212748.4592444444
2017,157584.55213685476
2018,253142.79839859
2019,195581.09261439586
2020,199967.3994526475
2021,199014.04215963947
2022,147236.4433796369
2023,89920.59171437162
2024,195051.3928229531
2025,120822.648205147
